#CHANNEL:CH1
#SIZE=4000
Index,Time(s),Volt(V)
1,0.000000e+00,3.200000e-01
2,4.000000e-05,-8.000000e-02
3,8.000000e-05,-4.400000e-01
4,1.200000e-04,-6.000000e-01
5,1.600000e-04,-6.800000e-01
6,2.000000e-04,-5.600000e-01
7,2.400000e-04,-3.200000e-01
8,2.800000e-04,4.000000e-02
9,3.200000e-04,2.800000e-01
10,3.600000e-04,5.200000e-01
11,4.000000e-04,6.400000e-01
12,4.400000e-04,5.200000e-01
13,4.800000e-04,3.200000e-01
14,5.200000e-04,8.000000e-02
15,5.600000e-04,-2.000000e-01
16,6.000000e-04,-4.000000e-01
17,6.400000e-04,-4.400000e-01
18,6.800000e-04,-4.400000e-01
19,7.200000e-04,-2.400000e-01
20,7.600000e-04,-1.200000e-01
21,8.000000e-04,1.200000e-01
22,8.400000e-04,2.800000e-01
23,8.800000e-04,2.800000e-01
24,9.200000e-04,3.600000e-01
25,9.600000e-04,2.800000e-01
26,1.000000e-03,1.200000e-01
27,1.040000e-03,-4.000000e-02
28,1.080000e-03,-1.200000e-01
29,1.120000e-03,-2.000000e-01
30,1.160000e-03,-2.400000e-01
31,1.200000e-03,-2.000000e-01
32,1.240000e-03,-1.200000e-01
33,1.280000e-03,4.000000e-02
34,1.320000e-03,1.200000e-01
35,1.360000e-03,2.800000e-01
36,1.400000e-03,3.200000e-01
37,1.440000e-03,2.800000e-01
38,1.480000e-03,2.000000e-01
39,1.520000e-03,0.000000e+00
40,1.560000e-03,-4.000000e-02
41,1.600000e-03,-2.400000e-01
42,1.640000e-03,-3.600000e-01
43,1.680000e-03,-3.200000e-01
44,1.720000e-03,-2.800000e-01
45,1.760000e-03,-1.200000e-01
46,1.800000e-03,1.200000e-01
47,1.840000e-03,3.600000e-01
48,1.880000e-03,5.200000e-01
49,1.920000e-03,5.200000e-01
50,1.960000e-03,4.400000e-01
51,2.000000e-03,2.800000e-01
52,2.040000e-03,-4.000000e-02
53,2.080000e-03,-4.000000e-01
54,2.120000e-03,-5.600000e-01
55,2.160000e-03,-6.800000e-01
56,2.200000e-03,-6.000000e-01
57,2.240000e-03,-2.800000e-01
58,2.280000e-03,0.000000e+00
59,2.320000e-03,3.600000e-01
60,2.360000e-03,6.000000e-01
61,2.400000e-03,7.600000e-01
62,2.440000e-03,6.800000e-01
63,2.480000e-03,4.800000e-01
64,2.520000e-03,1.200000e-01
65,2.560000e-03,-2.400000e-01
66,2.600000e-03,-5.200000e-01
67,2.640000e-03,-6.800000e-01
68,2.680000e-03,-6.800000e-01
69,2.720000e-03,-4.800000e-01
70,2.760000e-03,-1.600000e-01
71,2.800000e-03,1.600000e-01
72,2.840000e-03,4.400000e-01
73,2.880000e-03,6.400000e-01
74,2.920000e-03,6.000000e-01
75,2.960000e-03,4.800000e-01
76,3.000000e-03,2.000000e-01
77,3.040000e-03,-4.000000e-02
78,3.080000e-03,-3.200000e-01
79,3.120000e-03,-4.400000e-01
80,3.160000e-03,-4.400000e-01
81,3.200000e-03,-3.200000e-01
82,3.240000e-03,-1.600000e-01
83,3.280000e-03,0.000000e+00
84,3.320000e-03,2.000000e-01
85,3.360000e-03,2.800000e-01
86,3.400000e-03,3.600000e-01
87,3.440000e-03,3.200000e-01
88,3.480000e-03,2.000000e-01
89,3.520000e-03,8.000000e-02
90,3.560000e-03,-1.200000e-01
91,3.600000e-03,-2.000000e-01
92,3.640000e-03,-2.400000e-01
93,3.680000e-03,-2.400000e-01
94,3.720000e-03,-1.600000e-01
95,3.760000e-03,-4.000000e-02
96,3.800000e-03,8.000000e-02
97,3.840000e-03,2.000000e-01
98,3.880000e-03,2.400000e-01
99,3.920000e-03,2.800000e-01
100,3.960000e-03,2.000000e-01
101,4.000000e-03,1.200000e-01
102,4.040000e-03,0.000000e+00
103,4.080000e-03,-2.000000e-01
104,4.120000e-03,-3.600000e-01
105,4.160000e-03,-4.000000e-01
106,4.200000e-03,-3.600000e-01
107,4.240000e-03,-2.000000e-01
108,4.280000e-03,-4.000000e-02
109,4.320000e-03,2.800000e-01
110,4.360000e-03,4.800000e-01
111,4.400000e-03,5.600000e-01
112,4.440000e-03,5.200000e-01
113,4.480000e-03,4.000000e-01
114,4.520000e-03,8.000000e-02
115,4.560000e-03,-2.000000e-01
116,4.600000e-03,-4.800000e-01
117,4.640000e-03,-6.000000e-01
118,4.680000e-03,-6.800000e-01
119,4.720000e-03,-4.800000e-01
120,4.760000e-03,-1.600000e-01
121,4.800000e-03,2.000000e-01
122,4.840000e-03,5.200000e-01
123,4.880000e-03,7.200000e-01
124,4.920000e-03,7.600000e-01
125,4.960000e-03,6.000000e-01
126,5.000000e-03,3.600000e-01
127,5.040000e-03,-4.000000e-02
128,5.080000e-03,-4.000000e-01
129,5.120000e-03,-6.800000e-01
130,5.160000e-03,-7.200000e-01
131,5.200000e-03,-5.600000e-01
132,5.240000e-03,-3.200000e-01
133,5.280000e-03,-4.000000e-02
134,5.320000e-03,3.200000e-01
135,5.360000e-03,6.000000e-01
136,5.400000e-03,6.000000e-01
137,5.440000e-03,5.200000e-01
138,5.480000e-03,3.600000e-01
139,5.520000e-03,8.000000e-02
140,5.560000e-03,-1.600000e-01
141,5.600000e-03,-3.600000e-01
142,5.640000e-03,-4.800000e-01
143,5.680000e-03,-4.000000e-01
144,5.720000e-03,-3.200000e-01
145,5.760000e-03,-1.200000e-01
146,5.800000e-03,1.200000e-01
147,5.840000e-03,2.800000e-01
148,5.880000e-03,3.600000e-01
149,5.920000e-03,3.600000e-01
150,5.960000e-03,2.800000e-01
151,6.000000e-03,8.000000e-02
152,6.040000e-03,-4.000000e-02
153,6.080000e-03,-1.200000e-01
154,6.120000e-03,-2.000000e-01
155,6.160000e-03,-2.400000e-01
156,6.200000e-03,-2.000000e-01
157,6.240000e-03,-1.200000e-01
158,6.280000e-03,4.000000e-02
159,6.320000e-03,1.200000e-01
160,6.360000e-03,2.000000e-01
161,6.400000e-03,2.800000e-01
162,6.440000e-03,2.800000e-01
163,6.480000e-03,1.600000e-01
164,6.520000e-03,4.000000e-02
165,6.560000e-03,-1.200000e-01
166,6.600000e-03,-2.400000e-01
167,6.640000e-03,-4.000000e-01
168,6.680000e-03,-4.000000e-01
169,6.720000e-03,-3.200000e-01
170,6.760000e-03,-1.200000e-01
171,6.800000e-03,1.200000e-01
172,6.840000e-03,3.600000e-01
173,6.880000e-03,4.800000e-01
174,6.920000e-03,5.600000e-01
175,6.960000e-03,4.800000e-01
176,7.000000e-03,2.400000e-01
177,7.040000e-03,-4.000000e-02
178,7.080000e-03,-3.600000e-01
179,7.120000e-03,-5.600000e-01
180,7.160000e-03,-6.800000e-01
181,7.200000e-03,-5.600000e-01
182,7.240000e-03,-3.600000e-01
183,7.280000e-03,4.000000e-02
184,7.320000e-03,3.200000e-01
185,7.360000e-03,6.400000e-01
186,7.400000e-03,7.600000e-01
187,7.440000e-03,7.200000e-01
188,7.480000e-03,4.800000e-01
189,7.520000e-03,1.200000e-01
190,7.560000e-03,-2.400000e-01
191,7.600000e-03,-5.600000e-01
192,7.640000e-03,-7.200000e-01
193,7.680000e-03,-6.400000e-01
194,7.720000e-03,-4.800000e-01
195,7.760000e-03,-1.600000e-01
196,7.800000e-03,2.000000e-01
197,7.840000e-03,4.400000e-01
198,7.880000e-03,6.000000e-01
199,7.920000e-03,6.000000e-01
200,7.960000e-03,4.800000e-01
201,8.000000e-03,2.800000e-01
202,8.040000e-03,-4.000000e-02
203,8.080000e-03,-2.400000e-01
204,8.120000e-03,-3.600000e-01
205,8.160000e-03,-4.400000e-01
206,8.200000e-03,-4.000000e-01
207,8.240000e-03,-1.600000e-01
208,8.280000e-03,4.000000e-02
209,8.320000e-03,1.600000e-01
210,8.360000e-03,2.800000e-01
211,8.400000e-03,3.600000e-01
212,8.440000e-03,2.800000e-01
213,8.480000e-03,1.600000e-01
214,8.520000e-03,8.000000e-02
215,8.560000e-03,-4.000000e-02
216,8.600000e-03,-2.000000e-01
217,8.640000e-03,-2.000000e-01
218,8.680000e-03,-2.400000e-01
219,8.720000e-03,-1.600000e-01
220,8.760000e-03,-8.000000e-02
221,8.800000e-03,8.000000e-02
222,8.840000e-03,2.000000e-01
223,8.880000e-03,2.400000e-01
224,8.920000e-03,3.200000e-01
225,8.960000e-03,2.400000e-01
226,9.000000e-03,1.600000e-01
227,9.040000e-03,-4.000000e-02
228,9.080000e-03,-1.600000e-01
229,9.120000e-03,-3.200000e-01
230,9.160000e-03,-4.000000e-01
231,9.200000e-03,-3.600000e-01
232,9.240000e-03,-2.000000e-01
233,9.280000e-03,4.000000e-02
234,9.320000e-03,2.800000e-01
235,9.360000e-03,4.400000e-01
236,9.400000e-03,5.200000e-01
237,9.440000e-03,5.200000e-01
238,9.480000e-03,4.000000e-01
239,9.520000e-03,1.200000e-01
240,9.560000e-03,-2.000000e-01
241,9.600000e-03,-4.800000e-01
242,9.640000e-03,-6.400000e-01
243,9.680000e-03,-6.400000e-01
244,9.720000e-03,-4.800000e-01
245,9.760000e-03,-2.000000e-01
246,9.800000e-03,2.000000e-01
247,9.840000e-03,5.200000e-01
248,9.880000e-03,7.200000e-01
249,9.920000e-03,7.600000e-01
250,9.960000e-03,6.000000e-01
251,1.000000e-02,3.200000e-01
252,1.004000e-02,-4.000000e-02
253,1.008000e-02,-4.400000e-01
254,1.012000e-02,-6.000000e-01
255,1.016000e-02,-6.400000e-01
256,1.020000e-02,-5.600000e-01
257,1.024000e-02,-3.600000e-01
258,1.028000e-02,0.000000e+00
259,1.032000e-02,2.800000e-01
260,1.036000e-02,5.200000e-01
261,1.040000e-02,6.000000e-01
262,1.044000e-02,5.200000e-01
263,1.048000e-02,3.600000e-01
264,1.052000e-02,8.000000e-02
265,1.056000e-02,-1.600000e-01
266,1.060000e-02,-3.600000e-01
267,1.064000e-02,-4.800000e-01
268,1.068000e-02,-4.400000e-01
269,1.072000e-02,-2.800000e-01
270,1.076000e-02,-8.000000e-02
271,1.080000e-02,1.200000e-01
272,1.084000e-02,2.400000e-01
273,1.088000e-02,3.200000e-01
274,1.092000e-02,3.200000e-01
275,1.096000e-02,2.800000e-01
276,1.100000e-02,1.600000e-01
277,1.104000e-02,0.000000e+00
278,1.108000e-02,-1.200000e-01
279,1.112000e-02,-2.400000e-01
280,1.116000e-02,-2.000000e-01
281,1.120000e-02,-1.600000e-01
282,1.124000e-02,-1.200000e-01
283,1.128000e-02,0.000000e+00
284,1.132000e-02,1.200000e-01
285,1.136000e-02,2.000000e-01
286,1.140000e-02,2.400000e-01
287,1.144000e-02,2.400000e-01
288,1.148000e-02,2.000000e-01
289,1.152000e-02,8.000000e-02
290,1.156000e-02,-1.200000e-01
291,1.160000e-02,-2.400000e-01
292,1.164000e-02,-3.600000e-01
293,1.168000e-02,-3.600000e-01
294,1.172000e-02,-3.200000e-01
295,1.176000e-02,-1.200000e-01
296,1.180000e-02,1.200000e-01
297,1.184000e-02,3.200000e-01
298,1.188000e-02,4.800000e-01
299,1.192000e-02,6.000000e-01
300,1.196000e-02,4.800000e-01
301,1.200000e-02,2.800000e-01
302,1.204000e-02,-8.000000e-02
303,1.208000e-02,-3.200000e-01
304,1.212000e-02,-6.000000e-01
305,1.216000e-02,-6.800000e-01
306,1.220000e-02,-5.600000e-01
307,1.224000e-02,-3.600000e-01
308,1.228000e-02,-4.000000e-02
309,1.232000e-02,3.600000e-01
310,1.236000e-02,6.000000e-01
311,1.240000e-02,7.600000e-01
312,1.244000e-02,7.200000e-01
313,1.248000e-02,4.400000e-01
314,1.252000e-02,1.200000e-01
315,1.256000e-02,-2.400000e-01
316,1.260000e-02,-5.200000e-01
317,1.264000e-02,-6.400000e-01
318,1.268000e-02,-6.400000e-01
319,1.272000e-02,-4.400000e-01
320,1.276000e-02,-1.600000e-01
321,1.280000e-02,1.600000e-01
322,1.284000e-02,4.400000e-01
323,1.288000e-02,5.600000e-01
324,1.292000e-02,6.000000e-01
325,1.296000e-02,4.800000e-01
326,1.300000e-02,2.800000e-01
327,1.304000e-02,-4.000000e-02
328,1.308000e-02,-2.400000e-01
329,1.312000e-02,-4.400000e-01
330,1.316000e-02,-4.400000e-01
331,1.320000e-02,-3.600000e-01
332,1.324000e-02,-2.000000e-01
333,1.328000e-02,0.000000e+00
334,1.332000e-02,1.600000e-01
335,1.336000e-02,2.800000e-01
336,1.340000e-02,3.200000e-01
337,1.344000e-02,2.800000e-01
338,1.348000e-02,1.600000e-01
339,1.352000e-02,8.000000e-02
340,1.356000e-02,-1.200000e-01
341,1.360000e-02,-2.000000e-01
342,1.364000e-02,-2.400000e-01
343,1.368000e-02,-2.000000e-01
344,1.372000e-02,-1.600000e-01
345,1.376000e-02,-4.000000e-02
346,1.380000e-02,8.000000e-02
347,1.384000e-02,2.000000e-01
348,1.388000e-02,2.400000e-01
349,1.392000e-02,2.800000e-01
350,1.396000e-02,2.800000e-01
351,1.400000e-02,1.200000e-01
352,1.404000e-02,0.000000e+00
353,1.408000e-02,-2.000000e-01
354,1.412000e-02,-2.800000e-01
355,1.416000e-02,-4.000000e-01
356,1.420000e-02,-3.600000e-01
357,1.424000e-02,-2.000000e-01
358,1.428000e-02,4.000000e-02
359,1.432000e-02,2.400000e-01
360,1.436000e-02,4.400000e-01
361,1.440000e-02,5.600000e-01
362,1.444000e-02,5.200000e-01
363,1.448000e-02,3.600000e-01
364,1.452000e-02,1.200000e-01
365,1.456000e-02,-2.000000e-01
366,1.460000e-02,-4.800000e-01
367,1.464000e-02,-6.400000e-01
368,1.468000e-02,-6.400000e-01
369,1.472000e-02,-4.800000e-01
370,1.476000e-02,-1.600000e-01
371,1.480000e-02,1.600000e-01
372,1.484000e-02,4.800000e-01
373,1.488000e-02,7.200000e-01
374,1.492000e-02,7.600000e-01
375,1.496000e-02,6.000000e-01
